aX,aY,aZ,gX,gY,gZ
-0.494,-0.407,0.618,-5.676,-7.568,7.507
-0.370,-0.485,0.661,0.061,-15.503,-8.301
-0.224,-0.592,0.721,6.104,-16.785,-16.602
-0.094,-0.704,0.775,10.193,-14.404,-18.311
0.002,-0.787,0.820,11.475,-11.536,-15.503

0.781,-1.879,1.058,83.862,37.292,-95.886
0.912,-1.852,1.165,64.209,31.006,-70.984
0.826,-1.669,1.118,38.025,31.494,-34.607
0.547,-1.394,0.958,11.902,37.048,5.615
0.156,-1.059,0.804,-4.395,39.490,36.255
-0.215,-0.729,0.705,-10.986,35.339,49.316
-0.459,-0.520,0.633,-13.733,26.550,44.495
-0.543,-0.415,0.618,-11.475,13.367,26.550
-0.495,-0.428,0.644,-6.104,0.916,5.981
-0.364,-0.514,0.702,1.099,-5.249,-10.559
-0.209,-0.639,0.769,7.080,-6.592,-20.081
-0.068,-0.757,0.821,10.437,-5.310,-22.461
0.047,-0.850,0.846,11.536,-2.197,-19.287
0.120,-0.908,0.851,10.803,2.075,-11.719
0.139,-0.930,0.844,8.484,5.432,-2.319
0.120,-0.921,0.826,4.211,5.737,6.531
0.084,-0.899,0.807,-0.977,2.380,12.329
0.057,-0.873,0.791,-6.348,-4.150,13.794
0.036,-0.858,0.789,-11.536,-12.878,12.756
0.025,-0.848,0.799,-15.625,-21.912,10.742
0.016,-0.845,0.823,-18.433,-28.442,9.277
0.006,-0.844,0.854,-19.958,-31.677,9.399
-0.012,-0.833,0.879,-20.813,-31.128,11.719
-0.037,-0.813,0.889,-20.935,-26.794,15.686
-0.062,-0.793,0.891,-20.752,-20.935,19.775
-0.089,-0.766,0.886,-20.630,-16.724,22.949
-0.113,-0.740,0.870,-20.508,-13.733,24.658
-0.123,-0.715,0.844,-20.630,-11.963,24.597
-0.122,-0.699,0.827,-21.179,-11.841,23.071
-0.116,-0.688,0.813,-21.729,-12.268,21.301
-0.108,-0.683,0.797,-21.973,-12.024,20.264
-0.104,-0.672,0.786,-21.484,-11.414,20.142
-0.114,-0.653,0.783,-20.386,-10.803,21.179
-0.124,-0.638,0.778,-19.836,-9.583,21.973
-0.132,-0.624,0.774,-19.714,-8.667,22.400
-0.139,-0.613,0.771,-19.104,-8.118,22.278
